Job Title,Company,Location,Required Skills,Job Description,Experience,Salary
QA Automation Engineer,Atlassian,"Hyderabad, India","Python, Selenium, Test Automation, API Testing, Postman, CI/CD, Git, Docker, Problem Solving","Join our growing team at Atlassian in Hyderabad, India! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",3-5 years,"$90,000 - $120,000"
QA Automation Engineer,Elastic,"Sydney, Australia","Python, Selenium, Test Automation, API Testing, Postman, CI/CD, Git, Teamwork, Docker, Analytics","Join our growing team at Elastic in Sydney, Australia! Build automated testing suites for web applications using Selenium and Python. Integrate tests into the CI/CD pipeline to ensure quality releases. We offer great benefits, flexible hours, and professional development.",1-3 years,"$65,000 - $85,000"
Cyber Security Analyst,Canva,"Seattle, WA","Network Security, Ethical Hacking, Linux, Firewall, Wireshark, SIEM, Information Security, Problem Solving, SQL","Join our growing team at Canva in Seattle, WA! Monitor network traffic, identify potential security breaches, and respond to cyber incidents. Conduct vulnerability assessments and secure systems with firewalls. We offer great benefits, flexible hours, and professional development.",5+ years,"$155,000 - $200,000"
Cyber Security Analyst,Slack,"Pune, India","Network Security, Ethical Hacking, Linux, Firewall, Wireshark, SIEM, Information Security, Communication","Join our growing team at Slack in Pune, India! Implement security strategies, audit systems for compliance, analyze logs using SIEM tools, and protect company infrastructure from unauthorized access. We offer great benefits, flexible hours, and professional development.",1-3 years,"$75,000 - $100,000"
Product Manager,Figma,"New York, NY","Agile, Scrum, Jira, Market Research, Roadmapping, Communication, Git","Join our growing team at Figma in New York, NY! Define the product vision, roadmap, and requirements. Lead cross-functional teams of engineers and designers to launch new tech features under Agile methodologies. We offer great benefits, flexible hours, and professional development.",3-5 years,"$115,000 - $155,000"
Cloud Architect,Amazon,"Manchester, UK","AWS, Azure, Cloud Computing, Terraform, Enterprise Architecture, Docker, Linux, Kubernetes, Scrum, Communication","Join our growing team at Amazon in Manchester, UK! Lead the transition of legacy systems to modern cloud infrastructures. Optimize resource utilization, establish security baselines, and standardize deployment frameworks. We offer great benefits, flexible hours, and professional development.",4-7 years,"$140,000 - $185,000"
DevOps Engineer,Plaid,"Paris, France","AWS, Docker, Kubernetes, Jenkins, Terraform, Linux, Git, Agile, Communication","Join our growing team at Plaid in Paris, France! Maintain high availability of applications using Kubernetes and Docker. Streamline development processes, monitor system performance, and handle container orchestration. We offer great benefits, flexible hours, and professional development.",3-5 years,"$115,000 - $155,000"
QA Automation Engineer,Accenture,Remote (Europe),"Python, Selenium, Java, API Testing, Postman, CI/CD, Git","Join our growing team at Accenture in Remote (Europe)! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",3-5 years,"$90,000 - $120,000"
C++ Software Developer,Notion,"Bangalore, India","C++, Algorithms, Data Structures, Linux, Multithreading, Object-Oriented Programming, Agile, Teamwork, Docker","Join our growing team at Notion in Bangalore, India! Write high-performance low-level applications in C++. Optimize algorithms, design efficient data structures, and implement multithreading solutions. We offer great benefits, flexible hours, and professional development.",5+ years,"$155,000 - $205,000"
Machine Learning Engineer,Dell,"Tokyo, Japan","Python, PyTorch, TensorFlow, Machine Learning, Deep Learning, Docker, Git, SQL, Analytics","Join our growing team at Dell in Tokyo, Japan! Design, build, and deploy machine learning models in PyTorch or TensorFlow. Scale training pipelines and run predictions on massive datasets. We offer great benefits, flexible hours, and professional development.",6+ years,"$180,000 - $230,000"
Cloud Architect,Zoom,"San Francisco, CA","AWS, Azure, Cloud Computing, Terraform, Enterprise Architecture, Docker, Linux, Kubernetes","Join our growing team at Zoom in San Francisco, CA! Design and oversee cloud computing strategies and deployment plans. Architect secure, scalable, and resilient multi-tenant cloud solutions using AWS and Azure. We offer great benefits, flexible hours, and professional development.",4-7 years,"$140,000 - $185,000"
Data Scientist,Microsoft,Remote (US),"Python, Pandas, NumPy, Scikit-learn, SQL, Tableau, Machine Learning, Project Management, Problem Solving","Join our growing team at Microsoft in Remote (US)! Analyze data using Pandas and NumPy, build predictive models with Scikit-learn, and create interactive business intelligence dashboards using Tableau and SQL. We offer great benefits, flexible hours, and professional development.",1-3 years,"$85,000 - $110,000"
Full Stack Developer,Zoom,Remote (Europe),"JavaScript, Node.js, Express, MongoDB, SQL, Git, REST APIs, Problem Solving, Analytics","Join our growing team at Zoom in Remote (Europe)! Build full-lifecycle web applications. Manage database queries using MongoDB/SQL, create backend services in Node.js, and deliver rich frontend user experiences in React. We offer great benefits, flexible hours, and professional development.",5+ years,"$160,000 - $210,000"
DevOps Engineer,EY,"Pune, India","AWS, Docker, Kubernetes, CI/CD, Terraform, Linux, Git, Scrum, Problem Solving","Join our growing team at EY in Pune, India! Design and implement automated build, test, and deployment pipelines (CI/CD). Manage cloud infrastructure on AWS using Infrastructure as Code (IaC) with Terraform. We offer great benefits, flexible hours, and professional development.",1-3 years,"$80,000 - $110,000"
Machine Learning Engineer,Infosys,"Manchester, UK","Python, PyTorch, TensorFlow, Machine Learning, Deep Learning, SQL, Docker, Git, Scrum, Agile","Join our growing team at Infosys in Manchester, UK! Design, build, and deploy machine learning models in PyTorch or TensorFlow. Scale training pipelines and run predictions on massive datasets. We offer great benefits, flexible hours, and professional development.",1-3 years,"$90,000 - $120,000"
Data Analyst,Datadog,"Paris, France","Excel, Python, Power BI, Tableau, Data Visualization, Statistics, Teamwork, Analytics","Join our growing team at Datadog in Paris, France! Translate data into actionable business insights. Perform descriptive statistics, build interactive dashboards in Tableau, and clean datasets using Python and Pandas. We offer great benefits, flexible hours, and professional development.",0-2 years,"$55,000 - $75,000"
Mobile App Developer,Notion,Remote (India),"Kotlin, Swift, Flutter, React Native, Java, Git, REST APIs, Docker, Agile","Join our growing team at Notion in Remote (India)! Develop and launch native or cross-platform mobile apps for iOS and Android. Write clean code in Swift or Kotlin, and consume REST APIs. We offer great benefits, flexible hours, and professional development.",2-5 years,"$100,000 - $145,000"
Backend Developer,Shopify,Singapore,"Python, Flask, Django, SQL, PostgreSQL, REST APIs, Git, Docker, Communication, Teamwork","Join our growing team at Shopify in Singapore! Design and build scalable server-side systems and databases. Create secure, high-performance RESTful APIs to integrate with modern web frontends. We offer great benefits, flexible hours, and professional development.",2-5 years,"$105,000 - $145,000"
Data Scientist,Spotify,Singapore,"Python, Pandas, NumPy, Scikit-learn, SQL, Tableau, Machine Learning, Jupyter Notebook, Communication","Join our growing team at Spotify in Singapore! Analyze data using Pandas and NumPy, build predictive models with Scikit-learn, and create interactive business intelligence dashboards using Tableau and SQL. We offer great benefits, flexible hours, and professional development.",3-6 years,"$120,000 - $160,000"
Full Stack Developer,Wipro,"London, UK","JavaScript, React, Node.js, Express, MongoDB, SQL, Git, Analytics, Agile","Join our growing team at Wipro in London, UK! Responsible for both frontend and backend development. Design user interactions, develop APIs, manage databases, and ensure performance and scalability. We offer great benefits, flexible hours, and professional development.",5+ years,"$160,000 - $210,000"
Data Analyst,Capgemini,"Hyderabad, India","SQL, Excel, Python, Power BI, Tableau, Data Visualization, Statistics, Agile","Join our growing team at Capgemini in Hyderabad, India! Analyze key performance indicators and business metrics. Write SQL queries to extract data, create automated reports in Excel, and design dashboards in Power BI. We offer great benefits, flexible hours, and professional development.",4+ years,"$110,000 - $145,000"
DevOps Engineer,Lyft,"Vancouver, Canada","AWS, Docker, Kubernetes, CI/CD, Jenkins, Linux, Git, Project Management","Join our growing team at Lyft in Vancouver, Canada! Maintain high availability of applications using Kubernetes and Docker. Streamline development processes, monitor system performance, and handle container orchestration. We offer great benefits, flexible hours, and professional development.",1-3 years,"$80,000 - $110,000"
Cyber Security Analyst,Zoom,"Austin, TX","Network Security, Ethical Hacking, Linux, Wireshark, SIEM, Information Security, Scrum, Communication","Join our growing team at Zoom in Austin, TX! Implement security strategies, audit systems for compliance, analyze logs using SIEM tools, and protect company infrastructure from unauthorized access. We offer great benefits, flexible hours, and professional development.",5+ years,"$155,000 - $200,000"
Cloud Architect,Notion,"Vancouver, Canada","Azure, Cloud Computing, Terraform, Enterprise Architecture, Docker, Linux, Kubernetes, Git","Join our growing team at Notion in Vancouver, Canada! Design and oversee cloud computing strategies and deployment plans. Architect secure, scalable, and resilient multi-tenant cloud solutions using AWS and Azure. We offer great benefits, flexible hours, and professional development.",7+ years,"$190,000 - $250,000"
Data Analyst,Shopify,"Bangalore, India","SQL, Excel, Python, Power BI, Tableau, Statistics, Git, Docker","Join our growing team at Shopify in Bangalore, India! Analyze key performance indicators and business metrics. Write SQL queries to extract data, create automated reports in Excel, and design dashboards in Power BI. We offer great benefits, flexible hours, and professional development.",4+ years,"$110,000 - $145,000"
Data Analyst,Apple,Remote (Europe),"SQL, Excel, Python, Power BI, Tableau, Data Visualization, Statistics, Scrum","Join our growing team at Apple in Remote (Europe)! Translate data into actionable business insights. Perform descriptive statistics, build interactive dashboards in Tableau, and clean datasets using Python and Pandas. We offer great benefits, flexible hours, and professional development.",4+ years,"$110,000 - $145,000"
QA Automation Engineer,PayPal,"Tokyo, Japan","Python, Selenium, Java, Test Automation, API Testing, Postman, CI/CD, Git, Agile","Join our growing team at PayPal in Tokyo, Japan! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",5+ years,"$125,000 - $160,000"
Product Manager,Stripe,Remote (India),"Product Strategy, Agile, Scrum, Jira, Market Research, Roadmapping, Communication, Project Management","Join our growing team at Stripe in Remote (India)! Drive product development from conception to launch. Conduct user research, analyze metrics, and prioritize backlog items using Jira and Agile frameworks. We offer great benefits, flexible hours, and professional development.",1-3 years,"$80,000 - $110,000"
Mobile App Developer,Adobe,"Vancouver, Canada","Kotlin, Flutter, React Native, Java, Mobile App Development, Git, REST APIs, Communication","Join our growing team at Adobe in Vancouver, Canada! Develop and launch native or cross-platform mobile apps for iOS and Android. Write clean code in Swift or Kotlin, and consume REST APIs. We offer great benefits, flexible hours, and professional development.",5+ years,"$150,000 - $195,000"
UI/UX Designer,Canva,"Bangalore, India","Figma, Wireframing, Prototyping, User Research, Visual Design, UI Design, Project Management, Problem Solving","Join our growing team at Canva in Bangalore, India! Design visual aesthetics, layout structures, and intuitive workflows for web and mobile platforms. Test interface usability and iterate based on feedback. We offer great benefits, flexible hours, and professional development.",2-5 years,"$90,000 - $125,000"
Data Analyst,Airbnb,"Seattle, WA","SQL, Excel, Python, Power BI, Tableau, Data Visualization, Statistics, Agile, Problem Solving","Join our growing team at Airbnb in Seattle, WA! Analyze key performance indicators and business metrics. Write SQL queries to extract data, create automated reports in Excel, and design dashboards in Power BI. We offer great benefits, flexible hours, and professional development.",4+ years,"$110,000 - $145,000"
Cloud Architect,Elastic,Remote (US),"Azure, Cloud Computing, Terraform, Enterprise Architecture, Docker, Linux, Kubernetes, Scrum, SQL, Git","Join our growing team at Elastic in Remote (US)! Lead the transition of legacy systems to modern cloud infrastructures. Optimize resource utilization, establish security baselines, and standardize deployment frameworks. We offer great benefits, flexible hours, and professional development.",7+ years,"$190,000 - $250,000"
Machine Learning Engineer,Elastic,"Pune, India","Python, PyTorch, TensorFlow, Machine Learning, Deep Learning, SQL, Docker, Git, Agile, Problem Solving","Join our growing team at Elastic in Pune, India! Research and implement deep learning algorithms, natural language processing, or computer vision models. Build inference endpoints and maintain ML models in production. We offer great benefits, flexible hours, and professional development.",3-6 years,"$130,000 - $175,000"
UI/UX Designer,Plaid,"Bangalore, India","Figma, Adobe XD, Wireframing, Prototyping, User Research, Visual Design, UI Design, Scrum, Problem Solving, Project Management","Join our growing team at Plaid in Bangalore, India! Design visual aesthetics, layout structures, and intuitive workflows for web and mobile platforms. Test interface usability and iterate based on feedback. We offer great benefits, flexible hours, and professional development.",5+ years,"$130,000 - $170,000"
Cloud Architect,Stripe,Remote (Worldwide),"AWS, Azure, Cloud Computing, Terraform, Enterprise Architecture, Docker, Linux, Kubernetes, Analytics, Problem Solving","Join our growing team at Stripe in Remote (Worldwide)! Lead the transition of legacy systems to modern cloud infrastructures. Optimize resource utilization, establish security baselines, and standardize deployment frameworks. We offer great benefits, flexible hours, and professional development.",4-7 years,"$140,000 - $185,000"
